Chainsaw Man,"accion,aventura,shounen",Tatsuki Fujimoto,9.23,"Cuando su padre murio, Denji se vio obligado a saldar una gran deuda y no habia forma de pagarla. Pero gracias a la ayuda de un Demonio Perro que salvo llamado Pochita, Denji es capaz de sobrevivir convirtiendose en un Cazador Demonio a sueldo haciendo trabajos para los Yakuza. Los poderes motosierra de Pochita son utiles contra estos poderosos demonios. Y cuando Denji termina siendo asesinado por un demonio, Pochita se sacrifica para salvar su vida y revivirlo. Pero ahora Denji ha renacido como una especie de extrano hibrido Demonio-Humano. Ahora es Chainsaw Man! Despues de su transformacion, es reclutado rapidamente por Makima y obligado a unirse a los Cazadores de Demonio de Seguridad Publica bajo amenaza de exterminio ahora que tecnicamente es un Demonio. Ahora que vive comodamente por primera vez en su vida, Denji lucha por determinar sus suenios y establecer relaciones significativas mientras mata Demonio y trabaja junto a otros excentricos cazadores."
Berserk,"accion,aventura,drama,fantasia,horror,seinen,psicologico",Kentarou Miura,9.38,"La historia esta ambientada en una epoca con tintes de la Europa medieval y renacentista, en la cual se cuenta la vida de Guts, un mercenario huerfano que acompanado del elfo Puck, caza seres demoniacos llamados apostoles."
Oyasumi Punpun,"drama,psicologico,seinen",Inio Asano,9.05,"La historia sigue a Onodera Punpun, un nino normal que debe hacer frente a sus amigos y familia disfuncional, su interes amoroso, su adolescencia en sentido contrario y su mente hiperactiva. A medida que la vida de Punpun se vuelve cada vez mas caotica, comienza a tratar temas del existencialismo y nihilismo."
Koe no Katachi,"drama,shounen",Yoshitoki Ooima,8.86,"Shoko Nishimiya, una estudiante de primaria sorda, empieza a sentir el bullying de sus nuevos companeros cuando se cambia de colegio. El peor de todos es Ishida Shoya, quien termina por forzar que Nishimiya se cambie de escuela. Anios despues, Ishida buscara la redencion de sus malas acciones."
Jujutsu Kaisen,"accion,fantasia,shounen",Gege Akutami,8.52,"Un atleta de 15 anios que se une al club de ocultismo de su escuela para evitar el equipo de atletismo. ... Se encuentra con Yuuji cuando intenta localizar un talisman maldito de alto grado en su escuela secundaria. Convence a Satoru para tratar de salvar a Yuuji de su ejecucion despues de su posesion por parte de Sukuna."
Naruto,"accion,aventura,shounen",Masashi Kishimoto,8.06,"La obra narra la historia de un ninja adolescente llamado Naruto Uzumaki, quien aspira a convertirse en Hokage, lider de su aldea, con el proposito de ser reconocido como alguien importante dentro de la aldea y entre sus companeros."
One Piece,"accion,aventura,comedia,shounen,fantasia",Eiichiro Oda,9.15,"One Piece es una aventura de piratas. Es la historia de un chico llamado Monkey D. ... Luffy, inspirado por el pirata Shanks (Akagami), sale al mar diez anios despues para convertirse en el Rey de los Piratas. Para ello necesitaria encontrar una tripulacion adecuada, diez personas que lo acompañarian en su aventura."
Kimi no Na wa,"drama,romance,seinen",Makoto Shinkai,8.42,"El joven Taki vive en Tokio: la joven Mitsuha, en un pequenio pueblo en las montanas. Durante el suenio, los cuerpos de ambos se intercambian. Recluidos en un cuerpo que les resulta extranio, comienzan a comunicarse."
Hige wo Soru,"drama,romance,shounen",Shimesaba,7.54,"El empleado de oficina Yoshida ha estado enamorado de su companera de trabajo, Airi Gotou, durante cinco anios. A pesar de conseguir tener una cita con ella, su confesion es rechazada por esta. Borracho y decepcionado, regresa a casa solo y se encuentra en el camino a una chica de secundaria sentada a un lado de la calle. La chica, que necesita un lugar para pasar la noche, intenta seducir a Yoshida. A pesar de rechazarla, el termina por invitarla a su apartamento."
Kimetsu no Yaiba,"accion,shounen",Koyoharu Gotouge,8.28,"El protagonista de la historia es Kamado Tanjiro, un joven que tiene un gran corazon, pero que tambien presume sobrada inteligencia. Su historia resulta conmovedora porque se dedica a la venta de carbon para sobrevivir al lado de su familia. Sin embargo, la tragedia toca a su puerta cuando sus seres queridos son asesinatos. El culpable es Oni, un demonio sanguinario. Su hermana Nezuko, quien también sobrevivió al ataque, fue convertida en un peligroso ser que con características sobrenaturales. Asi es como Tanjiro busca transformarse en un asesino de demonios, con la intención de vengar a su familia y recuperar a su hermana."
